book_name,edition,publication_year,writer_name,book_type,link_of_book,writer_name_keyword,book_name_keyword,Keywod 
A Text Book Of Engineering Mathematics,Volume 1,,Rajesh Pandey,Mathematics,https://drive.google.com/open?id=1W1hQdi5HQ5Yx8Rv3NiIdf4XgKc2xrq_O,RajeshPandey,ATextBookOfEngineeringMathematics,Math
Advance Engineering Mathematics,10th Edition,,Erwin Sigeki,Mathematics,https://drive.google.com/open?id=1jptPWMSJI-cI3exdctKrtjTLO-4PJXZk,ErwinSigeki,AdvanceEngineeringMathematics,Math
Basic Civil Engineering,,Perarson,Satheesh Gopi -,Civil,https://drive.google.com/open?id=17xhnWkWPACP2B6Xs_Y5MP8eUE3ReqGfT,SatheeshGopi -,BasicCivilEngineering,Bce 
Basic Civil Engineering,,,,Civil,https://drive.google.com/open?id=1j1Px9kGX2KL0B5dy6A4BpnIGatmusKta,,BasicCivilEngineering,Bce 
Basic Civil Engineering,,,Bhavikatti,Civil,https://drive.google.com/open?id=1j1Px9kGX2KL0B5dy6A4BpnIGatmusKtaa,Bhavikatti,BasicCivilEngineering,Bce 
Communication Skills For Engineers And Scientist,,,Sangita Sharma,Communication Skills,https://drive.google.com/open?id=11o0t93f39eoOJIxX4oU5SB4EoEWfOazA,SangitaSharma,CommunicationSkillsForEngineersAndScientist,Communication
Engineering Chemistry,,,M Praveen,Chemistry,https://drive.google.com/open?id=1Q5DAfoIflTrrUsJHNALq60A4VkK3MCus,MPraveen,EngineeringChemistry,Chem
Geometrical And Machine Drawing,,,,CAMD,https://drive.google.com/open?id=1fA82oCHFQFfe0pa4-S78zvEwcfrOhjAe,,GeometricalAndMachineDrawing,Camd 
Machine Drawing,3rd Edition,,K L Narayan,CAMD,https://drive.google.com/open?id=12e8idkbikFtJHj-B_zKPZMWfVy0_klic,KLNarayan,MachineDrawing,Camd 
Mutimedia and Web Technology,,,,Communication Skills,https://drive.google.com/open?id=1sUYM-DA3Lim8MExLzYLBB1iWQdiWQkQx,,MutimediaandWebTechnology,Communication
Thomas calculas Mathematics,14th Edtion,,Thomas,Mathematics,https://drive.google.com/open?id=1wDh1iYWLgt2D3X_wdvWYcwcG6P-xl7mN,Thomas,ThomascalculasMathematics,Math